,Trial,Ts,Tp
334,334.0,1535.0,1064.5839595016876
335,335.0,1165.0,1344.210198107771
336,336.0,1675.0,1838.7179967096467
337,337.0,1265.0,1199.7617910284412
338,338.0,1675.0,1340.538315245583
339,339.0,1265.0,932.5484745358954
340,340.0,1535.0,1237.6752857243298
341,341.0,1165.0,1147.0029414797345
342,342.0,1165.0,1227.6990551741108
343,343.0,1535.0,1685.6340830299741
344,344.0,1265.0,1095.9428916029574
345,345.0,1165.0,1487.1206269516588
346,346.0,1165.0,2138.6510798617783
347,347.0,1535.0,1646.618518557946
348,348.0,1675.0,1361.533370568138
349,349.0,1395.0,1255.327873664861
350,350.0,1535.0,975.7023541360095
351,351.0,1265.0,1176.3266244040833
352,352.0,1675.0,1660.1731253791065
353,353.0,1675.0,2449.0450139761583
354,354.0,1675.0,2359.394190589815
355,355.0,1165.0,913.1328235441124
356,356.0,1675.0,1320.4890141653907
357,357.0,1265.0,769.4500200332103
358,358.0,1395.0,2187.869308000332
359,359.0,1395.0,1708.3132155097665
360,360.0,1535.0,2731.138097414961
361,361.0,1675.0,1314.890125028825
362,362.0,1265.0,2137.5802026243955
363,363.0,1535.0,1211.4691220608686
364,364.0,1535.0,1433.541032695082
365,365.0,1675.0,1076.622785192274
366,366.0,1675.0,2192.1247883552355
367,367.0,1535.0,1319.404452679173
368,368.0,1535.0,1324.5235369780557
369,369.0,1265.0,687.2953146869817
370,370.0,1265.0,1485.2648841478197
371,371.0,1675.0,1545.5702492673722
372,372.0,1165.0,955.1776157066043
373,373.0,1395.0,1537.7061111425242
374,374.0,1535.0,900.5143927966992
375,375.0,1395.0,909.1860447147994
376,376.0,1165.0,2772.7647982754647
377,377.0,1265.0,847.2865077888345
378,378.0,1395.0,1055.825900708267
379,379.0,1675.0,1333.875734655251
380,380.0,1265.0,880.3913231708316
381,381.0,1165.0,1503.0745225694727
382,382.0,1265.0,1337.9560801534192
383,383.0,1165.0,1517.639725508518
384,384.0,1265.0,1809.9218127248257
385,385.0,1675.0,1112.3654142961016
386,386.0,1165.0,1017.4545525942113
387,387.0,1535.0,1165.6696742455822
388,388.0,1395.0,1077.487252642357
389,389.0,1165.0,921.1414856140092
390,390.0,1535.0,1915.9221522986736
391,391.0,1675.0,1260.5182348107885
392,392.0,1265.0,1132.7597619225257
393,393.0,1675.0,1049.169599014246
394,394.0,1535.0,1766.3022372176279
395,395.0,1395.0,1702.9744173795295
396,396.0,1535.0,1938.2802955751145
397,397.0,1395.0,2099.5852453506973
398,398.0,1535.0,2243.245006372369
399,399.0,1265.0,1873.6787046287134
400,400.0,1265.0,1163.7239671889006
401,401.0,1165.0,1363.736219320306
402,402.0,1395.0,1225.3345081933337
403,403.0,1165.0,761.918238683124
404,404.0,1675.0,1483.2357565878692
405,405.0,1535.0,1533.5449418586427
406,406.0,1265.0,1337.6894771052519
407,407.0,1395.0,1264.160423624597
408,408.0,1675.0,1116.410696937877
409,409.0,1535.0,1400.0964509336493
410,410.0,1265.0,1065.8027458775878
411,411.0,1675.0,1181.2040766688112
412,412.0,1165.0,886.5536373364544
413,413.0,1165.0,998.7425890770638
414,414.0,1165.0,1719.2705342494544
415,415.0,1675.0,1798.0254367300581
416,416.0,1675.0,1533.3273407167046
417,417.0,1265.0,850.8105961427976
418,418.0,1265.0,1879.6870283402454
419,419.0,1675.0,1431.485668166726
420,420.0,1165.0,994.6655785946199
421,421.0,1395.0,1592.9074678845884
422,422.0,1535.0,911.5634597619709
423,423.0,1265.0,2119.248462139685
424,424.0,1395.0,3252.740149872501
425,425.0,1535.0,1688.8818506245523
426,426.0,1265.0,1943.457278999207
427,427.0,1675.0,2043.8810893592238
428,428.0,1165.0,1519.4000467479866
429,429.0,1265.0,1190.6875444205493
430,430.0,1675.0,1840.4472666663812
431,431.0,1675.0,934.493441631793
432,432.0,1265.0,1621.0974383976404
433,433.0,1165.0,2208.1678687831663
434,434.0,1265.0,1598.2871173688834
435,435.0,1265.0,1306.9041059366946
436,436.0,1675.0,1995.1402944899723
437,437.0,1675.0,1281.1164054457226
438,438.0,1675.0,2059.3484867934894
439,439.0,1675.0,1124.2884217241713
440,440.0,1535.0,1177.7397667220255
441,441.0,1265.0,1558.0308450082007
442,442.0,1165.0,1543.2096660014688
443,443.0,1165.0,1211.5032762799644
444,444.0,1265.0,1122.8395919546058
445,445.0,1535.0,1702.6347503797974
446,446.0,1265.0,1196.5544831936845
447,447.0,1535.0,1388.1948278543468
448,448.0,1265.0,791.6295574159138
449,449.0,1675.0,830.2705654348593
450,450.0,1265.0,1296.769280228489
451,451.0,1265.0,1710.1896338367571
452,452.0,1165.0,1391.5453765294205
453,453.0,1165.0,1057.8132973194909
454,454.0,1165.0,1385.4187671095342
455,455.0,1535.0,1077.9461475515354
456,456.0,1675.0,1258.2948695212594
457,457.0,1675.0,1484.264504928552
