acc,accuracy,average_response_time,avg_rt,background,batchId,batchTitle,bidi,block,browser,canvas_backend,clock_backend,color_backend,compensation,componentId,componentPos,componentResultId,componentTitle,coordinates,correct,count_Clearscreen,count_Duration,count_GreenDot,count_Instructions,count_Instructions2,count_IsI,count_RedDot,count_TimeEnd,count_Trial,count_experiment,count_loopBlock2,count_mainloop,count_new_logger,count_new_sketchpad,count_new_sketchpad_1,count_osweb,count_pauze,date,datetime,delay_Duration,delay_IsI,description,disable_garbage_collection,duration,experiment,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,groupMemberId,groupResultId,height,keyboard_backend,mouse_backend,opensesame_codename,opensesame_version,response,response_Instructions,response_Instructions2,response_TimeEnd,response_pauze,response_time,response_time_Instructions,response_time_Instructions2,response_time_TimeEnd,response_time_pauze,round_decimals,sampler_backend,screen,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,studyId,studyResultId,studyTitle,subject_nr,subject_parity,system,time_Clearscreen,time_Duration,time_GreenDot,time_Instructions,time_Instructions2,time_IsI,time_RedDot,time_TimeEnd,time_loopBlock2,time_mainloop,time_new_logger,time_new_sketchpad_1,time_pauze,title,total_correct,total_response_time,total_responses,uniform_coordinates,w,width,workerId
0,0,1457,1457,black,47,Default,no,2,,xpyriment,legacy,legacy,0,44,1,351,OSWeb experiment,uniform,undefined,289,144,144,0,0,144,144,144,144,0,0,0,144,0,1,0,0,,Fri Nov 15 2019 09:01:11 GMT+0100 (Central European Standard Time),841,3111,The main experiment item,yes,1165,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,space,space,space,1020,36097,17077,1020,32284,2,legacy,,1573804900310,1024,2,48000,-16,experiment,44,351,TimingShort,999999999,odd,,1052641,1050758,1049576,67,601072,1046449,1051608,1051608,67,67,1052641,618155,568777,TimingShort,0,211234,145,yes,16,1024,422
0,0,1462,1462,black,47,Default,no,2,,xpyriment,legacy,legacy,0,44,1,351,OSWeb experiment,uniform,undefined,291,145,145,0,0,145,145,145,145,0,0,0,145,0,1,0,0,,Fri Nov 15 2019 09:01:11 GMT+0100 (Central European Standard Time),789,2918,The main experiment item,yes,1675,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,space,space,space,2266,36097,17077,2266,32284,2,legacy,,1573804900310,1024,2,48000,-16,experiment,44,351,TimingShort,999999999,odd,,1060346,1057258,1055575,67,601072,1052648,1058058,1058058,67,67,1060346,618155,568777,TimingShort,0,213500,146,yes,6,1024,422
0,0,1469,1469,black,47,Default,no,2,,xpyriment,legacy,legacy,0,44,1,351,OSWeb experiment,uniform,undefined,293,146,146,0,0,146,146,146,146,0,0,0,146,0,1,0,0,,Fri Nov 15 2019 09:01:11 GMT+0100 (Central European Standard Time),701,2894,The main experiment item,yes,1535,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,space,space,space,2423,36097,17077,2423,32284,2,legacy,,1573804900310,1024,2,48000,-16,experiment,44,351,TimingShort,999999999,odd,,1067959,1064808,1063258,67,601072,1060352,1065525,1065525,67,67,1067959,618155,568777,TimingShort,0,215923,147,yes,6,1024,422
0,0,1470,1470,black,47,Default,no,2,,xpyriment,legacy,legacy,0,44,1,351,OSWeb experiment,uniform,undefined,295,147,147,0,0,147,147,147,147,0,0,0,147,0,1,0,0,,Fri Nov 15 2019 09:01:11 GMT+0100 (Central European Standard Time),706,3228,The main experiment item,yes,1535,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,space,space,space,1601,36097,17077,1601,32284,2,legacy,,1573804900310,1024,2,48000,-16,experiment,44,351,TimingShort,999999999,odd,,1075091,1072758,1071208,67,601072,1067966,1073475,1073475,67,67,1075091,618155,568777,TimingShort,0,217524,148,yes,6,1024,422
0,0,1471,1471,black,47,Default,no,2,,xpyriment,legacy,legacy,0,44,1,351,OSWeb experiment,uniform,undefined,297,148,148,0,0,148,148,148,148,0,0,0,148,0,1,0,0,,Fri Nov 15 2019 09:01:11 GMT+0100 (Central European Standard Time),805,3223,The main experiment item,yes,1265,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,space,space,space,1659,36097,17077,1659,32284,2,legacy,,1573804900310,1024,2,48000,-16,experiment,44,351,TimingShort,999999999,odd,,1082074,1079591,1078325,67,601072,1075098,1080409,1080409,67,67,1082074,618155,568777,TimingShort,0,219183,149,yes,6,1024,422
0,0,1473,1473,black,47,Default,no,2,,xpyriment,legacy,legacy,0,44,1,351,OSWeb experiment,uniform,undefined,299,149,149,0,0,149,149,149,149,0,0,0,149,0,1,0,0,,Fri Nov 15 2019 09:01:11 GMT+0100 (Central European Standard Time),743,2885,The main experiment item,yes,1165,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,space,space,space,1720,36097,17077,1720,32284,2,legacy,,1573804900310,1024,2,48000,-16,experiment,44,351,TimingShort,999999999,odd,,1088625,1086142,1084975,67,601072,1082083,1086892,1086893,67,67,1088625,618155,568777,TimingShort,0,220903,150,yes,16,1024,422
0,0,1475,1475,black,47,Default,no,2,,xpyriment,legacy,legacy,0,44,1,351,OSWeb experiment,uniform,undefined,301,150,150,0,0,150,150,150,150,0,0,0,150,0,1,0,0,,Fri Nov 15 2019 09:01:11 GMT+0100 (Central European Standard Time),825,3060,The main experiment item,yes,1165,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,space,space,space,1775,36097,17077,1775,32284,2,legacy,,1573804900310,1024,2,48000,-16,experiment,44,351,TimingShort,999999999,odd,,1095508,1092892,1091709,67,601072,1088632,1093725,1093725,67,67,1095508,618155,568777,TimingShort,0,222678,151,yes,16,1024,422
0,0,1473,1473,black,47,Default,no,2,,xpyriment,legacy,legacy,0,44,1,351,OSWeb experiment,uniform,undefined,303,151,151,0,0,151,151,151,151,0,0,0,151,0,1,0,0,,Fri Nov 15 2019 09:01:11 GMT+0100 (Central European Standard Time),816,2840,The main experiment item,yes,1535,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,space,space,space,1262,36097,17077,1262,32284,2,legacy,,1573804900310,1024,2,48000,-16,experiment,44,351,TimingShort,999999999,odd,,1102008,1099909,1098359,67,601072,1095514,1100742,1100742,67,67,1102008,618155,568777,TimingShort,0,223940,152,yes,6,1024,422
0,0,1477,1477,black,47,Default,no,2,,xpyriment,legacy,legacy,0,44,1,351,OSWeb experiment,uniform,undefined,305,152,152,0,0,152,152,152,152,0,0,0,152,0,1,0,0,,Fri Nov 15 2019 09:01:11 GMT+0100 (Central European Standard Time),821,2784,The main experiment item,yes,1265,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,space,space,space,1982,36097,17077,1982,32284,2,legacy,,1573804900310,1024,2,48000,-16,experiment,44,351,TimingShort,999999999,odd,,1108925,1106091,1104809,67,601072,1102015,1106925,1106926,67,67,1108925,618155,568777,TimingShort,0,225922,153,yes,6,1024,422
0,0,1476,1476,black,47,Default,no,2,,xpyriment,legacy,legacy,0,44,1,351,OSWeb experiment,uniform,undefined,307,153,153,0,0,153,153,153,153,0,0,0,153,0,1,0,0,,Fri Nov 15 2019 09:01:11 GMT+0100 (Central European Standard Time),866,3203,The main experiment item,yes,1395,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,space,space,space,space,1371,36097,17077,1371,32284,2,legacy,,1573804900310,1024,2,48000,-16,experiment,44,351,TimingShort,999999999,odd,,1115808,1113542,1112142,67,601072,1108934,1114425,1114425,67,67,1115808,618155,568777,TimingShort,0,227293,154,yes,6,1024,422
