acc,accuracy,average_response_time,avg_rt,background,batchId,batchTitle,bidi,block,browser,canvas_backend,clock_backend,color_backend,compensation,componentId,componentPos,componentResultId,componentTitle,coordinates,correct,count_Clearscreen,count_Duration,count_GreenDot,count_Instructions,count_Instructions2,count_IsI,count_RedDot,count_TimeEnd,count_Trial,count_experiment,count_loopBlock2,count_mainloop,count_new_logger,count_new_sketchpad,count_new_sketchpad_1,count_osweb,count_pauze,date,datetime,delay_Duration,delay_IsI,description,disable_garbage_collection,duration,experiment,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,groupMemberId,groupResultId,height,keyboard_backend,mouse_backend,opensesame_codename,opensesame_version,response,response_Instructions,response_Instructions2,response_TimeEnd,response_pauze,response_time,response_time_Instructions,response_time_Instructions2,response_time_TimeEnd,response_time_pauze,round_decimals,sampler_backend,screen,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,studyId,studyResultId,studyTitle,subject_nr,subject_parity,system,time_Clearscreen,time_Duration,time_GreenDot,time_Instructions,time_Instructions2,time_IsI,time_RedDot,time_TimeEnd,time_loopBlock2,time_mainloop,time_new_logger,time_new_sketchpad_1,time_pauze,title,total_correct,total_response_time,total_responses,uniform_coordinates,w,width,workerId
0,0,1543,1543,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,241,120,120,0,0,120,120,120,120,0,0,0,120,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),772,3150,The main experiment item,yes,1265,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1735,26622,12558,1735,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,894159,891626,890344,76,594556,887187,892411,892411,76,76,894160,607124,565125,TimingLong,0,186678,121,yes,6,1024,439
0,0,1542,1542,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,243,121,121,0,0,121,121,121,121,0,0,0,121,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),716,2954,The main experiment item,yes,1675,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1421,26622,12558,1421,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,900994,898826,897145,76,594556,894171,899559,899559,76,76,900994,607124,565125,TimingLong,0,188099,122,yes,16,1024,439
0,0,1545,1545,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,245,122,122,0,0,122,122,122,122,0,0,0,122,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),721,3123,The main experiment item,yes,1535,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1967,26622,12558,1967,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,908410,905693,904143,76,594556,901004,906427,906427,76,76,908410,607124,565125,TimingLong,0,190066,123,yes,6,1024,439
0,0,1546,1546,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,247,123,123,0,0,123,123,123,123,0,0,0,123,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),798,2882,The main experiment item,yes,1395,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1589,26622,12558,1589,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,915110,912710,911310,76,594556,908413,913510,913510,76,76,915110,607124,565125,TimingLong,0,191655,124,yes,6,1024,439
0,0,1545,1545,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,249,124,124,0,0,124,124,124,124,0,0,0,124,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),850,2995,The main experiment item,yes,1265,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1422,26622,12558,1422,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,921710,919410,918128,76,594556,915120,920277,920277,76,76,921710,607124,565125,TimingLong,0,193077,125,yes,6,1024,439
0,0,1544,1544,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,251,125,125,0,0,125,125,125,125,0,0,0,125,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),783,2838,The main experiment item,yes,1395,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1482,26622,12558,1482,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,928276,925977,924578,76,594556,921722,926778,926778,76,76,928276,607124,565125,TimingLong,0,194559,126,yes,6,1024,439
0,0,1537,1537,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,253,126,126,0,0,126,126,126,126,0,0,0,126,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),705,2750,The main experiment item,yes,1265,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,685,26622,12558,685,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,933743,932327,931045,76,594556,928287,933045,933046,76,76,933743,607124,565125,TimingLong,0,195244,127,yes,6,1024,439
0,0,1541,1541,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,255,127,127,0,0,127,127,127,127,0,0,0,127,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),721,2792,The main experiment item,yes,1535,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1943,26622,12558,1943,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,940793,938116,936562,76,594556,933754,938844,938845,76,76,940793,607124,565125,TimingLong,0,197187,128,yes,6,1024,439
0,0,1540,1540,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,257,128,128,0,0,128,128,128,128,0,0,0,128,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),752,2829,The main experiment item,yes,1675,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1436,26622,12558,1436,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,947542,945327,943644,76,594556,940803,946094,946094,76,76,947543,607124,565125,TimingLong,0,198623,129,yes,16,1024,439
0,0,1539,1539,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,259,129,129,0,0,129,129,129,129,0,0,0,129,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),701,3228,The main experiment item,yes,1395,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1405,26622,12558,1405,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,954310,952177,950778,76,594556,947546,952894,952894,76,76,954310,607124,565125,TimingLong,0,200028,130,yes,6,1024,439
